Name,ConstituentID,Nationality,Continent,Rank,Count,Gender,BeginDate,EndDate,Plot_Path,Local_Image_Path
Anri Sala,29622,Albanian,Europe,1,5,Male,1974,0,Country_strip\Anri Sala_29622.png,country_top10_artist_images/Anri Sala.jpg
Adrian Paci,30621,Albanian,Europe,2,3,Male,1969,0,Country_strip\Adrian Paci_30621.png,country_top10_artist_images/Adrian Paci.jpg
Bujar Alimani,43561,Albanian,Europe,3,1,Male,1969,0,Country_strip\Bujar Alimani_43561.png,
Edi Rama,31324,Albanian,Europe,4,1,Male,1964,0,Country_strip\Edi Rama_31324.png,country_top10_artist_images/Edi Rama.jpg
El Hadi Jazairy,70052,Algerian,Africa,1,4,Male,1970,0,Country_strip\El Hadi Jazairy_70052.png,country_top10_artist_images/El Hadi Jazairy.jpg
M. Fiorini,1880,Algerian,Africa,2,2,Male,1922,2008,Country_strip\M Fiorini_1880.png,country_top10_artist_images/M. Fiorini.jpg
Neïl Beloufa,49216,Algerian,Africa,3,2,Male,1985,0,Country_strip\Neïl Beloufa_49216.png,
Djamila Sahraoui,43626,Algerian,Africa,4,1,Female,1950,0,Country_strip\Djamila Sahraoui_43626.png,country_top10_artist_images/Djamila Sahraoui.jpg
Lyès Salem,43595,Algerian,Africa,5,1,Male,1973,0,Country_strip\Lyès Salem_43595.png,
Ludwig Mies van der Rohe,7166,American,North America,1,654,Male,1886,1969,Country_strip\Ludwig Mies van der Rohe_7166.png,country_top10_artist_images/Ludwig Mies van der Rohe.jpg
Louise Bourgeois,710,American,North America,2,504,Female,1911,2010,Country_strip\Louise Bourgeois_710.png,country_top10_artist_images/Louise Bourgeois.jpg
George Maciunas,21398,American,North America,3,493,Male,1931,1978,Country_strip\George Maciunas_21398.png,country_top10_artist_images/George Maciunas.jpg
Lee Friedlander,2002,American,North America,4,411,Male,1934,0,Country_strip\Lee Friedlander_2002.png,country_top10_artist_images/Lee Friedlander.jpg
Jim Dine,1547,American,North America,5,372,Male,1935,0,Country_strip\Jim Dine_1547.png,country_top10_artist_images/Jim Dine.jpg
Frank Lloyd Wright,6459,American,North America,6,371,Male,1867,1959,Country_strip\Frank Lloyd Wright_6459.png,country_top10_artist_images/Frank Lloyd Wright.jpg
Ben Kinmont,41829,American,North America,7,328,Male,1963,0,Country_strip\Ben Kinmont_41829.png,
Sol LeWitt,3528,American,North America,8,324,Male,1928,2007,Country_strip\Sol LeWitt_3528.png,country_top10_artist_images/Sol LeWitt.jpg
Raymond Pettibon,7500,American,North America,9,298,Male,1957,0,Country_strip\Raymond Pettibon_7500.png,country_top10_artist_images/Raymond Pettibon.jpg
Robert Rauschenberg,4823,American,North America,10,293,Male,1925,2008,Country_strip\Robert Rauschenberg_4823.png,country_top10_artist_images/Robert Rauschenberg.jpg
León Ferrari,1859,Argentine,South America,1,40,Male,1920,2013,Country_strip\León Ferrari_1859.png,country_top10_artist_images/León Ferrari.jpg
Libero Badii,278,Argentine,South America,2,33,Male,1916,2001,Country_strip\Libero Badii_278.png,country_top10_artist_images/Libero Badii.jpg
Luis Seoane,5343,Argentine,South America,3,31,Male,1910,1979,Country_strip\Luis Seoane_5343.png,country_top10_artist_images/Luis Seoane.jpg
Flora Manteola,44160,Argentine,South America,4,19,Female,1936,0,Country_strip\Flora Manteola_44160.png,
Javier Sánchez Gómez,44161,Argentine,South America,5,19,Male,1936,0,Country_strip\Javier Sánchez Gómez_44161.png,country_top10_artist_images/Javier Sánchez Gómez.jpg
Justo Solsona,44163,Argentine,South America,6,19,Male,1931,0,Country_strip\Justo Solsona_44163.png,country_top10_artist_images/Justo Solsona.jpg
Josefa Santos,44162,Argentine,South America,7,18,Female,1931,0,Country_strip\Josefa Santos_44162.png,
Antonio Segui,5319,Argentine,South America,8,16,Male,1934,0,Country_strip\Antonio Segui_5319.png,country_top10_artist_images/Antonio Segui.jpg
Emilio Ambasz,141,Argentine,South America,9,13,Male,1943,0,Country_strip\Emilio Ambasz_141.png,country_top10_artist_images/Emilio Ambasz.jpg
Guillermo Kuitca,7122,Argentine,South America,10,13,Male,1961,0,Country_strip\Guillermo Kuitca_7122.png,country_top10_artist_images/Guillermo Kuitca.jpg
Sidney Nolan,4325,Australian,Oceania,1,58,Male,1917,1992,Country_strip\Sidney Nolan_4325.png,country_top10_artist_images/Sidney Nolan.jpg
Richard Bosman,689,Australian,Oceania,2,45,Male,1944,0,Country_strip\Richard Bosman_689.png,
Fred Williams,6378,Australian,Oceania,3,14,Male,1927,1982,Country_strip\Fred Williams_6378.png,
Tracey Moffatt,8041,Australian,Oceania,4,12,Female,1960,0,Country_strip\Tracey Moffatt_8041.png,
Denise Green,25599,Australian,Oceania,5,5,Female,1946,0,Country_strip\Denise Green_25599.png,
Richard Tipping,36025,Australian,Oceania,6,5,Male,1949,0,Country_strip\Richard Tipping_36025.png,country_top10_artist_images/Richard Tipping.jpg
Marc Newson,7999,Australian,Oceania,7,4,Male,1963,0,Country_strip\Marc Newson_7999.png,country_top10_artist_images/Marc Newson.jpg
Clement Meadmore,3902,Australian,Oceania,8,3,Male,1929,2005,Country_strip\Clement Meadmore_3902.png,
Colin Lanceley,3355,Australian,Oceania,9,3,Male,1938,0,Country_strip\Colin Lanceley_3355.png,
James Gleeson,48276,Australian,Oceania,10,3,Male,1915,2008,Country_strip\James Gleeson_48276.png,
Oskar Kokoschka,3197,Austrian,Europe,1,130,Male,1886,1980,Country_strip\Oskar Kokoschka_3197.png,country_top10_artist_images/Oskar Kokoschka.jpg
VALIE EXPORT,7816,Austrian,Europe,2,49,Female,1940,0,Country_strip\VALIE EXPORT_7816.png,country_top10_artist_images/VALIE EXPORT.jpg
Alfred Kubin,3276,Austrian,Europe,3,47,Male,1877,1959,Country_strip\Alfred Kubin_3276.png,country_top10_artist_images/Alfred Kubin.jpg
Günter Brus,833,Austrian,Europe,4,41,Male,1938,0,Country_strip\Günter Brus_833.png,
Franz West,7557,Austrian,Europe,5,26,Male,1947,2012,Country_strip\Franz West_7557.png,country_top10_artist_images/Franz West.jpg
Arnulf Rainer,4792,Austrian,Europe,6,24,Male,1929,0,Country_strip\Arnulf Rainer_4792.png,country_top10_artist_images/Arnulf Rainer.jpg
Egon Schiele,5215,Austrian,Europe,7,19,Male,1890,1918,Country_strip\Egon Schiele_5215.png,country_top10_artist_images/Egon Schiele.jpg
Ingrid Wiener,36433,Austrian,Europe,8,18,Female,1942,0,Country_strip\Ingrid Wiener_36433.png,
Josef Hoffmann,2694,Austrian,Europe,9,14,Male,1870,1956,Country_strip\Josef Hoffmann_2694.png,country_top10_artist_images/Josef Hoffmann.jpg
Walter Pichler,4612,Austrian,Europe,10,13,Male,1936,2012,Country_strip\Walter Pichler_4612.png,
Zeigam Azizov,30858,Azerbaijani,Europe,1,1,Male,1963,0,Country_strip\Zeigam Azizov_30858.png,
Janine Antoni,8292,Bahamian,North America,1,3,Female,1964,0,Country_strip\Janine Antoni_8292.png,
Naeem Mohaiemen,73945,Bangladeshi,Asia,1,2,Male,1969,0,Country_strip\Naeem Mohaiemen_73945.png,
Pierre Alechinsky,107,Belgian,Europe,1,397,Male,1927,0,Country_strip\Pierre Alechinsky_107.png,country_top10_artist_images/Pierre Alechinsky.jpg
Frans Masereel,3814,Belgian,Europe,2,195,Male,1889,1972,Country_strip\Frans Masereel_3814.png,country_top10_artist_images/Frans Masereel.jpg
James Ensor,1739,Belgian,Europe,3,106,Male,1860,1949,Country_strip\James Ensor_1739.png,country_top10_artist_images/James Ensor.jpg
Marcel Broodthaers,795,Belgian,Europe,4,74,Male,1924,1976,Country_strip\Marcel Broodthaers_795.png,country_top10_artist_images/Marcel Broodthaers.jpg
Edgard Tytgat,5994,Belgian,Europe,5,43,Male,1879,1957,Country_strip\Edgard Tytgat_5994.png,
Pol Bury,890,Belgian,Europe,6,35,Male,1922,2005,Country_strip\Pol Bury_890.png,country_top10_artist_images/Pol Bury.jpg
Raoul Ubac,5997,Belgian,Europe,7,33,Male,1910,1985,Country_strip\Raoul Ubac_5997.png,
Francis Alÿs,8383,Belgian,Europe,8,23,Male,1959,0,Country_strip\Francis Alÿs_8383.png,
Luc Tuymans,7520,Belgian,Europe,9,18,Male,1958,0,Country_strip\Luc Tuymans_7520.png,country_top10_artist_images/Luc Tuymans.jpg
Paul Delvaux,1485,Belgian,Europe,10,18,Male,1897,1994,Country_strip\Paul Delvaux_1485.png,country_top10_artist_images/Paul Delvaux.jpg
Romuald Hazoumè,75465,Beninese,Africa,1,3,Male,1962,0,Country_strip\Romuald Hazoumè_75465.png,country_top10_artist_images/Romuald Hazoumè.jpg
Alfredo da Silva,1353,Bolivian,South America,1,2,Male,1935,0,Country_strip\Alfredo da Silva_1353.png,
Alejandro Mario Yllanes,6501,Bolivian,South America,2,1,Male,1913,1960,Country_strip\Alejandro Mario Yllanes_6501.png,
Roberto Berdecio,487,Bolivian,South America,3,1,Male,1913,1996,Country_strip\Roberto Berdecio_487.png,
Zlatko Ugljen,50030,Bosnian,Europe,1,4,Male,1929,0,Country_strip\Zlatko Ugljen_50030.png,
Braco Dimitrijević,28358,Bosnian,Europe,2,2,Male,1948,0,Country_strip\Braco Dimitrijević_28358.png,
Ivan Štraus,67097,Bosnian,Europe,3,2,Male,1928,2018,Country_strip\Ivan Štraus_67097.png,
Fehim Demir/Agence France-Presse,8532,Bosnian,Europe,4,1,Male,1959,0,Country_strip\Fehim DemirAgence FrancePresse_8532.png,
Jasmila Žbanić,49639,Bosnian,Europe,5,1,Female,1974,0,Country_strip\Jasmila Žbanić_49639.png,country_top10_artist_images/Jasmila Žbanić.jpg
Sejla Kameric,30953,Bosnian,Europe,6,1,Female,1976,0,Country_strip\Sejla Kameric_30953.png,country_top10_artist_images/Sejla Kameric.jpg
Vlada Petric,49714,Bosnian,Europe,7,1,Male,1928,0,Country_strip\Vlada Petric_49714.png,
Carybé (Hector Bernabó),1003,Brazilian,South America,1,47,Male,1911,1997,Country_strip\Carybé Hector Bernabó_1003.png,country_top10_artist_images/Carybé (Hector Bernabó).jpg
Vik Muniz,7818,Brazilian,South America,2,32,Male,1961,0,Country_strip\Vik Muniz_7818.png,country_top10_artist_images/Vik Muniz.jpg
Mauro Restiffe,68281,Brazilian,South America,3,21,Male,1970,0,Country_strip\Mauro Restiffe_68281.png,
Almir Mavignier,3858,Brazilian,South America,4,18,Male,1925,0,Country_strip\Almir Mavignier_3858.png,
Lygia Clark,27445,Brazilian,South America,5,18,Female,1920,1988,Country_strip\Lygia Clark_27445.png,country_top10_artist_images/Lygia Clark.jpg
Mira Schendel,7961,Brazilian,South America,6,17,Female,1919,1988,Country_strip\Mira Schendel_7961.png,
Lasar Segall,5317,Brazilian,South America,7,15,Male,1889,1957,Country_strip\Lasar Segall_5317.png,country_top10_artist_images/Lasar Segall.jpg
Hélio Oiticica,7715,Brazilian,South America,8,14,Male,1937,1980,Country_strip\Hélio Oiticica_7715.png,country_top10_artist_images/Hélio Oiticica.jpg
Maria Martins,3767,Brazilian,South America,9,14,Female,1894,1973,Country_strip\Maria Martins_3767.png,
Oscar Niemeyer,8103,Brazilian,South America,10,13,Male,1907,2012,Country_strip\Oscar Niemeyer_8103.png,country_top10_artist_images/Oscar Niemeyer.jpg
Thomas Bewick,542,British,Europe,1,324,Male,1753,1828,Country_strip\Thomas Bewick_542.png,country_top10_artist_images/Thomas Bewick.jpg
John Thomson,5863,British,Europe,2,237,Male,1837,1921,Country_strip\John Thomson_5863.png,country_top10_artist_images/John Thomson.jpg
David Hockney,2678,British,Europe,3,214,Male,1937,0,Country_strip\David Hockney_2678.png,country_top10_artist_images/David Hockney.jpg
Eduardo Paolozzi,4488,British,Europe,4,170,Male,1924,2005,Country_strip\Eduardo Paolozzi_4488.png,country_top10_artist_images/Eduardo Paolozzi.jpg
Francis Frith,2015,British,Europe,5,152,Male,1822,1898,Country_strip\Francis Frith_2015.png,country_top10_artist_images/Francis Frith.jpg
Alfred Capel Cure,959,British,Europe,6,141,Male,1826,1896,Country_strip\Alfred Capel Cure_959.png,
Henry Moore,4071,British,Europe,7,111,Male,1898,1986,Country_strip\Henry Moore_4071.png,country_top10_artist_images/Henry Moore.jpg
Edward Burne-Jones,879,British,Europe,8,89,Male,1833,1898,Country_strip\Edward BurneJones_879.png,country_top10_artist_images/Edward Burne-Jones.jpg
Bruce McLean,3889,British,Europe,9,77,Male,1944,0,Country_strip\Bruce McLean_3889.png,
Bill Brandt,740,British,Europe,10,76,Male,1904,1983,Country_strip\Bill Brandt_740.png,
Nedko Solakov,8494,Bulgarian,Europe,1,6,Male,1957,0,Country_strip\Nedko Solakov_8494.png,
Nikolay Diulgheroff,69486,Bulgarian,Europe,2,1,Male,1901,1982,Country_strip\Nikolay Diulgheroff_69486.png,country_top10_artist_images/Nikolay Diulgheroff.jpg
Sanlé Sory,75015,Burkinabe,Africa,1,8,Male,1943,0,Country_strip\Sanlé Sory_75015.png,country_top10_artist_images/Sanlé Sory.jpg
Nhem Ein,33069,Cambodian,Asia,1,6,Male,1959,0,Country_strip\Nhem Ein_33069.png,
Barthelemy Toguo,38243,Cameroonian,Africa,1,13,Male,1967,0,Country_strip\Barthelemy Toguo_38243.png,country_top10_artist_images/Barthelemy Toguo.jpg
General Idea,7474,Canadian,North America,1,104,Male,1969,1994,Country_strip\General Idea_7474.png,
Steve Reinke,34915,Canadian,North America,2,100,Male,1963,0,Country_strip\Steve Reinke_34915.png,
Rodney Graham,25983,Canadian,North America,3,57,Male,1949,0,Country_strip\Rodney Graham_25983.png,
Rolf Harder,32655,Canadian,North America,4,50,Male,1929,2013,Country_strip\Rolf Harder_32655.png,country_top10_artist_images/Rolf Harder.jpg
Roloff Beny,484,Canadian,North America,5,23,Male,1924,1984,Country_strip\Roloff Beny_484.png,country_top10_artist_images/Roloff Beny.jpg
Alexander Henderson,2590,Canadian,North America,6,17,Male,1831,1913,Country_strip\Alexander Henderson_2590.png,
Sara Cwynar,40166,Canadian,North America,7,16,Female,1985,0,Country_strip\Sara Cwynar_40166.png,
Geoffrey James,7160,Canadian,North America,8,15,Male,1942,0,Country_strip\Geoffrey James_7160.png,country_top10_artist_images/Geoffrey James.jpg
Jon Pylypchuk,28877,Canadian,North America,9,14,Male,1973,0,Country_strip\Jon Pylypchuk_28877.png,
Marcel Dzama,27712,Canadian,North America,10,12,Male,1974,0,Country_strip\Marcel Dzama_27712.png,country_top10_artist_images/Marcel Dzama.jpg
Akesuk Tudlik,5964,Canadian Inuit,North America,1,3,Male,1890,1966,Country_strip\Akesuk Tudlik_5964.png,
Iyola,2852,Canadian Inuit,North America,2,2,Male,1933,2000,Country_strip\Iyola_2852.png,
Parr,4505,Canadian Inuit,North America,3,2,Male,1893,1969,Country_strip\Parr_4505.png,country_top10_artist_images/Parr.jpg
Roberto Matta,3842,Chilean,South America,1,205,Male,1911,2002,Country_strip\Roberto Matta_3842.png,country_top10_artist_images/Roberto Matta.jpg
Enrique Zañartu,6541,Chilean,South America,2,26,Male,1921,2000,Country_strip\Enrique Zañartu_6541.png,
Julio Palazuelos,4473,Chilean,South America,3,25,Male,1931,2014,Country_strip\Julio Palazuelos_4473.png,
Salvador Bru,819,Chilean,South America,4,20,Male,1923,0,Country_strip\Salvador Bru_819.png,
Juan Downey,1606,Chilean,South America,5,14,Male,1940,1993,Country_strip\Juan Downey_1606.png,
Nemesio Antúnez,199,Chilean,South America,6,14,Male,1918,1993,Country_strip\Nemesio Antúnez_199.png,country_top10_artist_images/Nemesio Antúnez.jpg
Sergio Gonzalez-Tornero,2232,Chilean,South America,7,10,Male,1927,0,Country_strip\Sergio GonzalezTornero_2232.png,country_top10_artist_images/Sergio Gonzalez-Tornero.jpg
Alfredo Jaar,7477,Chilean,South America,8,6,Male,1956,0,Country_strip\Alfredo Jaar_7477.png,country_top10_artist_images/Alfredo Jaar.jpg
Paz Errázuriz,49166,Chilean,South America,9,6,Female,1941,0,Country_strip\Paz Errázuriz_49166.png,
Sandra Vásquez de la Horra,67675,Chilean,South America,10,6,Female,1967,0,Country_strip\Sandra Vásquez de la Horra_67675.png,
Paul Chan,26867,Chinese,Asia,1,19,Male,1973,0,Country_strip\Paul Chan_26867.png,country_top10_artist_images/Paul Chan.jpg
Hong Hao,26884,Chinese,Asia,2,15,Male,1965,0,Country_strip\Hong Hao_26884.png,country_top10_artist_images/Hong Hao.jpg
Fang Lijun,26839,Chinese,Asia,3,14,Male,1963,0,Country_strip\Fang Lijun_26839.png,
Qiu Anxiong,37946,Chinese,Asia,4,14,Male,1972,0,Country_strip\Qiu Anxiong_37946.png,
Xu Bing,29817,Chinese,Asia,5,14,Male,1955,0,Country_strip\Xu Bing_29817.png,country_top10_artist_images/Xu Bing.jpg
Ai Weiwei,34722,Chinese,Asia,6,13,Male,1957,0,Country_strip\Ai Weiwei_34722.png,country_top10_artist_images/Ai Weiwei.jpg
Song Dong,36892,Chinese,Asia,7,11,Male,1966,0,Country_strip\Song Dong_36892.png,country_top10_artist_images/Song Dong.jpg
Leng Lin,67453,Chinese,Asia,8,9,Male,1965,0,Country_strip\Leng Lin_67453.png,country_top10_artist_images/Leng Lin.jpg
Liu Jianhua,67452,Chinese,Asia,9,9,Male,1962,0,Country_strip\Liu Jianhua_67452.png,country_top10_artist_images/Liu Jianhua.jpg
Xiao Yu,67451,Chinese,Asia,10,9,Male,1965,0,Country_strip\Xiao Yu_67451.png,country_top10_artist_images/Xiao Yu.jpg
José Antonio Suárez Londoño,26770,Colombian,South America,1,236,Male,1955,0,Country_strip\José Antonio Suárez Londoño_26770.png,country_top10_artist_images/José Antonio Suárez Londoño.jpg
Omar Rayo,4831,Colombian,South America,2,53,Male,1928,2010,Country_strip\Omar Rayo_4831.png,country_top10_artist_images/Omar Rayo.jpg
Nicolás Paris,43702,Colombian,South America,3,32,Male,1977,0,Country_strip\Nicolás Paris_43702.png,
Leonel Gongora,2228,Colombian,South America,4,29,Male,1932,0,Country_strip\Leonel Gongora_2228.png,country_top10_artist_images/Leonel Gongora.jpg
Álvaro Barrios,26617,Colombian,South America,5,25,Male,1945,0,Country_strip\Álvaro Barrios_26617.png,
Beatriz González,36415,Colombian,South America,6,20,Female,1938,0,Country_strip\Beatriz González_36415.png,country_top10_artist_images/Beatriz González.jpg
Mateo López,38678,Colombian,South America,7,10,Male,1978,0,Country_strip\Mateo López_38678.png,country_top10_artist_images/Mateo López.jpg
Leo Matiz,33398,Colombian,South America,8,6,Male,1917,1998,Country_strip\Leo Matiz_33398.png,
Raimond Chaves,35080,Colombian,South America,9,5,Male,1963,0,Country_strip\Raimond Chaves_35080.png,country_top10_artist_images/Raimond Chaves.jpg
Rosemberg Sandoval,47554,Colombian,South America,10,5,Male,1959,0,Country_strip\Rosemberg Sandoval_47554.png,
Jean Depara,75463,Congolese,Africa,1,9,Male,1928,1997,Country_strip\Jean Depara_75463.png,
Bodys Isek Kingelez,68319,Congolese,Africa,2,3,Male,1948,2015,Country_strip\Bodys Isek Kingelez_68319.png,
Chéri Samba,25299,Congolese,Africa,3,3,Male,1956,0,Country_strip\Chéri Samba_25299.png,
"Ambroise Ngaimoko, Studio 3Z",75468,Congolese,Africa,4,2,Male,1949,0,Country_strip\Ambroise Ngaimoko Studio 3Z_75468.png,
Christian Belpaire,458,Congolese,Africa,5,2,Male,1949,2003,Country_strip\Christian Belpaire_458.png,country_top10_artist_images/Christian Belpaire.jpg
Moke,75467,Congolese,Africa,6,2,Male,1950,2001,Country_strip\Moke_75467.png,
Max Jiménez,2915,Costa Rican,North America,1,62,Male,1908,1949,Country_strip\Max Jiménez_2915.png,
Francisco Amighetti Ruiz,150,Costa Rican,North America,2,2,Male,1907,1998,Country_strip\Francisco Amighetti Ruiz_150.png,
Boris Bućan,840,Croatian,Europe,1,22,Male,1947,0,Country_strip\Boris Bućan_840.png,country_top10_artist_images/Boris Bućan.jpg
Sanja Iveković,30946,Croatian,Europe,2,17,Female,1949,0,Country_strip\Sanja Iveković_30946.png,country_top10_artist_images/Sanja Iveković.jpg
Ivan Picelj,4611,Croatian,Europe,3,12,Male,1924,2011,Country_strip\Ivan Picelj_4611.png,
Mangelos (Dimitrije Bašičević),29439,Croatian,Europe,4,10,Male,1921,0,Country_strip\Mangelos Dimitrije Bašičević_29439.png,
Josip Vaništa,41131,Croatian,Europe,5,8,Male,1924,2018,Country_strip\Josip Vaništa_41131.png,
Tomislav Gotovac,40680,Croatian,Europe,6,5,Male,1937,2010,Country_strip\Tomislav Gotovac_40680.png,
David Maljković,32907,Croatian,Europe,7,4,Male,1973,0,Country_strip\David Maljković_32907.png,
Dalibor Martinis,35617,Croatian,Europe,8,2,Male,1947,0,Country_strip\Dalibor Martinis_35617.png,
Ivan Kožarić,41554,Croatian,Europe,9,2,Male,1921,0,Country_strip\Ivan Kožarić_41554.png,
