ConstituentID,DisplayName,Nationality,Gender,BeginDate,EndDate,Local_Image_Path
11,Jean (Hans) Arp,French,Male,1886,1966,homepage_artist_image\Jean (Hans) Arp.jpg
28,Geneviève Asse,French,Female,1923,0,homepage_artist_image\Geneviève Asse.jpg
34,Alvar Aalto,Finnish,Male,1898,1976,homepage_artist_image\Alvar Aalto.jpg
41,Berenice Abbott,American,Female,1898,1991,homepage_artist_image\Berenice Abbott.jpg
53,Vito Acconci,American,Male,1940,2017,homepage_artist_image\Vito Acconci.jpg
60,Ansel Adams,American,Male,1902,1984,homepage_artist_image\Ansel Adams.jpg
86,Otl Aicher (also known as Otto Aicher),German,Male,1922,1991,homepage_artist_image\Otl Aicher (also known as Otto Aicher).jpg
96,Anni Albers,American,Female,1899,1994,homepage_artist_image\Anni Albers.jpg
97,Josef Albers,American,Male,1888,1976,homepage_artist_image\Josef Albers.jpg
107,Pierre Alechinsky,Belgian,Male,1927,0,homepage_artist_image\Pierre Alechinsky.jpg
108,Peter Alexander,American,Male,1939,2020,homepage_artist_image\Peter Alexander.jpg
129,Harold Altman,American,Male,1924,2003,homepage_artist_image\Harold Altman.jpg
135,Manuel álvarez Bravo,Mexican,Male,1902,2002,homepage_artist_image\Manuel álvarez Bravo.jpg
174,Carl Andre,American,Male,1935,0,homepage_artist_image\Carl Andre.jpg
198,Garo Antreasian,American,Male,1922,0,homepage_artist_image\Garo Antreasian.jpg
207,Shusaku Arakawa,American,Male,1936,2010,homepage_artist_image\Shusaku Arakawa.jpg
208,Diane Arbus,American,Female,1923,1971,homepage_artist_image\Diane Arbus.jpg
209,Aleksandr Archipenko,American,Male,1887,1964,homepage_artist_image\Aleksandr Archipenko.jpg
229,Eugène Atget,French,Male,1857,1927,homepage_artist_image\Eugène Atget.jpg
248,Richard Avedon,American,Male,1923,2004,homepage_artist_image\Richard Avedon.jpg
255,Ay-O,Japanese,Male,1931,0,homepage_artist_image\Ay-O.jpg
272,Francis Bacon,British,Male,1909,1992,homepage_artist_image\Francis Bacon.jpg
273,Peggy Bacon,American,Female,1895,1987,homepage_artist_image\Peggy Bacon.jpg
289,William Bailey,American,Male,1930,2020,homepage_artist_image\William Bailey.jpg
292,Enrico Baj,Italian,Male,1924,2003,homepage_artist_image\Enrico Baj.jpg
304,John Baldessari,American,Male,1931,2020,homepage_artist_image\John Baldessari.jpg
318,Lewis Baltz,American,Male,1945,2014,homepage_artist_image\Lewis Baltz.jpg
335,Ernst Barlach,German,Male,1870,1938,homepage_artist_image\Ernst Barlach.jpg
366,Georg Baselitz,German,Male,1938,0,homepage_artist_image\Georg Baselitz.jpg
369,Leonard Baskin,American,Male,1922,2000,homepage_artist_image\Leonard Baskin.jpg
370,Jean-Michel Basquiat,American,Male,1960,1988,homepage_artist_image\Jean-Michel Basquiat.jpg
392,Willi Baumeister,German,Male,1889,1955,homepage_artist_image\Willi Baumeister.jpg
398,Hippolyte Bayard,French,Male,1801,1887,homepage_artist_image\Hippolyte Bayard.jpg
416,Felice Beato,Italian,Male,1825,1903,homepage_artist_image\Felice Beato.jpg
422,Bernd Becher,German,Male,1931,2007,homepage_artist_image\Bernd Becher.jpg
429,Max Beckmann,German,Male,1884,1950,homepage_artist_image\Max Beckmann.jpg
451,Mario Bellini,Italian,Male,1935,0,homepage_artist_image\Mario Bellini.jpg
455,George Bellows,American,Male,1882,1925,homepage_artist_image\George Bellows.jpg
472,Billy Al Bengston,American,Male,1934,0,homepage_artist_image\Billy Al Bengston.jpg
483,Thomas Hart Benton,American,Male,1889,1975,homepage_artist_image\Thomas Hart Benton.jpg
484,Roloff Beny,Canadian,Male,1924,1984,homepage_artist_image\Roloff Beny.jpg
486,Christian Bérard,French,Male,1902,1949,homepage_artist_image\Christian Bérard.jpg
502,Eugene Berman,American,Male,1899,1972,homepage_artist_image\Eugene Berman.jpg
511,émile Bernard,French,Male,1868,1941,homepage_artist_image\émile Bernard.jpg
540,Joseph Beuys,German,Male,1921,1986,homepage_artist_image\Joseph Beuys.jpg
542,Thomas Bewick,British,Male,1753,1828,homepage_artist_image\Thomas Bewick.jpg
559,Max Bill,Swiss,Male,1908,1994,homepage_artist_image\Max Bill.jpg
561,Ilse Bing,American,Female,1899,1998,homepage_artist_image\Ilse Bing.jpg
592,Peter Blake,British,Male,1932,0,homepage_artist_image\Peter Blake.jpg
615,Anna Blume,German,Female,1937,2020,homepage_artist_image\Anna Blume.jpg
630,Alighiero Boetti,Italian,Male,1940,1994,homepage_artist_image\Alighiero Boetti.jpg
640,Karl Bohrmann,German,Male,1928,1998,homepage_artist_image\Karl Bohrmann.jpg
649,Christian Boltanski,French,Male,1944,0,homepage_artist_image\Christian Boltanski.jpg
665,Pierre Bonnard,French,Male,1867,1947,homepage_artist_image\Pierre Bonnard.jpg
710,Louise Bourgeois,American,Female,1911,2010,homepage_artist_image\Louise Bourgeois.jpg
712,Margaret Bourke-White,American,Female,1904,1971,homepage_artist_image\Margaret Bourke-White.jpg
734,Mathew B. Brady (studio of),American,Male,1823,1896,homepage_artist_image\Mathew B. Brady (studio of).jpg
738,Constantin Brancu?i,French,Male,1876,1957,homepage_artist_image\Constantin Brancui.jpg
744,Georges Braque,French,Male,1882,1963,homepage_artist_image\Georges Braque.jpg
756,George Brecht,American,Male,1926,2008,homepage_artist_image\George Brecht.jpg
768,André Breton,French,Male,1896,1966,homepage_artist_image\André Breton.jpg
769,Marcel Breuer,American,Male,1902,1981,homepage_artist_image\Marcel Breuer.jpg
806,James Brown,American,Male,1951,2020,homepage_artist_image\James Brown.jpg
816,Robert Brownjohn,American,Male,1925,1970,homepage_artist_image\Robert Brownjohn.jpg
869,Max Burchartz,German,Male,1887,1961,homepage_artist_image\Max Burchartz.jpg
871,Chris Burden,American,Male,1946,2015,homepage_artist_image\Chris Burden.jpg
873,Daniel Buren,French,Male,1938,0,homepage_artist_image\Daniel Buren.jpg
877,David Burliuk,Ukrainian,Male,1882,1967,homepage_artist_image\David Burliuk.jpg
879,Edward Burne-Jones,British,Male,1833,1898,homepage_artist_image\Edward Burne-Jones.jpg
890,Pol Bury,Belgian,Male,1922,2005,homepage_artist_image\Pol Bury.jpg
909,Paul Cadmus,American,Male,1904,1999,homepage_artist_image\Paul Cadmus.jpg
912,John Cage,American,Male,1912,1992,homepage_artist_image\John Cage.jpg
922,Alexander Calder,American,Male,1898,1976,homepage_artist_image\Alexander Calder.jpg
942,Massimo Campigli,Italian,Male,1895,1971,homepage_artist_image\Massimo Campigli.jpg
956,Robert Capa,American,Male,1913,1954,homepage_artist_image\Robert Capa.jpg
1000,Henri Cartier-Bresson,French,Male,1908,2004,homepage_artist_image\Henri Cartier-Bresson.jpg
1003,Carybé (Hector Bernabó),Brazilian,Male,1911,1997,homepage_artist_image\Carybé (Hector Bernabó).jpg
1015,A. M. Cassandre,French,Male,1901,1968,homepage_artist_image\A. M. Cassandre.jpg
1016,Mary Cassatt,American,Female,1844,1926,homepage_artist_image\Mary Cassatt.jpg
1037,Elizabeth Catlett,American,Female,1915,2012,homepage_artist_image\Elizabeth Catlett.jpg
1048,Vija Celmins,American,Female,1938,0,homepage_artist_image\Vija Celmins.jpg
1053,Paul Cézanne,French,Male,1839,1906,homepage_artist_image\Paul Cézanne.jpg
1055,Marc Chagall,French,Male,1887,1985,homepage_artist_image\Marc Chagall.jpg
1063,Martín Chambi,Peruvian,Male,1891,1973,homepage_artist_image\Martín Chambi.jpg
1074,Jean Charlot,American,Male,1898,1979,homepage_artist_image\Jean Charlot.jpg
1091,Ivan Chermayeff,American,Male,1932,2017,homepage_artist_image\Ivan Chermayeff.jpg
1104,Eduardo Chillida,Spanish,Male,1924,2002,homepage_artist_image\Eduardo Chillida.jpg
1106,Giorgio de Chirico,Italian,Male,1888,1978,homepage_artist_image\Giorgio de Chirico.jpg
1112,William Christenberry,American,Male,1936,2016,homepage_artist_image\William Christenberry.jpg
1114,Christo,American,Male,1935,2020,homepage_artist_image\Christo.jpg
1118,Chryssa,American,Female,1933,2013,homepage_artist_image\Chryssa.jpg
1125,Roman Cieslewicz,French,Male,1930,1996,homepage_artist_image\Roman Cieslewicz.jpg
1133,Larry Clark,American,Male,1943,0,homepage_artist_image\Larry Clark.jpg
1145,Francesco Clemente,Italian,Male,1952,0,homepage_artist_image\Francesco Clemente.jpg
1156,Chuck Close,American,Male,1940,0,homepage_artist_image\Chuck Close.jpg
1164,Alvin Langdon Coburn,American,Male,1882,1966,homepage_artist_image\Alvin Langdon Coburn.jpg
1192,André Collot,French,Male,1897,1976,homepage_artist_image\André Collot.jpg
1243,Lovis Corinth,German,Male,1858,1925,homepage_artist_image\Lovis Corinth.jpg
1247,Joseph Cornell,American,Male,1903,1972,homepage_artist_image\Joseph Cornell.jpg
1285,Douglas Craft,American,Male,1924,2015,homepage_artist_image\Douglas Craft.jpg
1286,Tony Cragg,British,Male,1949,0,homepage_artist_image\Tony Cragg.jpg
1325,José Luis Cuevas,Mexican,Male,1934,2017,homepage_artist_image\José Luis Cuevas.jpg
1332,Imogen Cunningham,American,Female,1883,1976,homepage_artist_image\Imogen Cunningham.jpg
1364,Salvador Dalí,Spanish,Male,1904,1989,homepage_artist_image\Salvador Dalí.jpg
1402,Arthur B. Davies,American,Male,1862,1928,homepage_artist_image\Arthur B. Davies.jpg
1444,Niki de Saint Phalle,French,Female,1930,2002,homepage_artist_image\Niki de Saint Phalle.jpg
1479,Robert Delaunay,French,Male,1885,1941,homepage_artist_image\Robert Delaunay.jpg
1480,Sonia Delaunay-Terk,French,Female,1885,1979,homepage_artist_image\Sonia Delaunay-Terk.jpg
1492,Maurice Denis,French,Male,1870,1943,homepage_artist_image\Maurice Denis.jpg
1500,André Derain,French,Male,1880,1954,homepage_artist_image\André Derain.jpg
1511,Charles Despiau,French,Male,1874,1946,homepage_artist_image\Charles Despiau.jpg
1533,Jan Dibbets,Dutch,Male,1941,0,homepage_artist_image\Jan Dibbets.jpg
1539,Richard Diebenkorn,American,Male,1922,1993,homepage_artist_image\Richard Diebenkorn.jpg
1547,Jim Dine,American,Male,1935,0,homepage_artist_image\Jim Dine.jpg
1559,Otto Dix,German,Male,1891,1969,homepage_artist_image\Otto Dix.jpg
1579,Oscar Domínguez,French,Male,1906,1957,homepage_artist_image\Oscar Domínguez.jpg
1589,Gustave Doré,French,Male,1832,1883,homepage_artist_image\Gustave Doré.jpg
1629,Maxime Du Camp,French,Male,1822,1894,homepage_artist_image\Maxime Du Camp.jpg
1633,Jean Dubuffet,French,Male,1901,1985,homepage_artist_image\Jean Dubuffet.jpg
1634,Marcel Duchamp,American,Male,1887,1968,homepage_artist_image\Marcel Duchamp.jpg
1646,Raoul Dufy,French,Male,1877,1953,homepage_artist_image\Raoul Dufy.jpg
1667,Carlus Dyer,American,Male,1917,2016,homepage_artist_image\Carlus Dyer.jpg
1671,Charles Eames,American,Male,1907,1978,homepage_artist_image\Charles Eames.jpg
1672,Ray Eames,American,Female,1912,1988,homepage_artist_image\Ray Eames.jpg
1724,Peter Henry Emerson,British,Male,1856,1936,homepage_artist_image\Peter Henry Emerson.jpg
1739,James Ensor,Belgian,Male,1860,1949,homepage_artist_image\James Ensor.jpg
1750,Hans Erni,Swiss,Male,1909,2015,homepage_artist_image\Hans Erni.jpg
1752,Max Ernst,French,Male,1891,1976,homepage_artist_image\Max Ernst.jpg
1756,Elliott Erwitt,American,Male,1928,0,homepage_artist_image\Elliott Erwitt.jpg
1777,Walker Evans,American,Male,1903,1975,homepage_artist_image\Walker Evans.jpg
1782,Connor Everts,American,Male,1928,2016,homepage_artist_image\Connor Everts.jpg
1784,Alexandra Exter,Russian,Female,1882,1949,homepage_artist_image\Alexandra Exter.jpg
1832,Lyonel Feininger,American,Male,1871,1956,homepage_artist_image\Lyonel Feininger.jpg
1847,Roger Fenton,British,Male,1819,1869,homepage_artist_image\Roger Fenton.jpg
1859,León Ferrari,Argentine,Male,1920,2013,homepage_artist_image\León Ferrari.jpg
1889,Eric Fischl,American,Male,1948,0,homepage_artist_image\Eric Fischl.jpg
1930,Lucio Fontana,Italian,Male,1899,1968,homepage_artist_image\Lucio Fontana.jpg
1965,Sam Francis,American,Male,1923,1994,homepage_artist_image\Sam Francis.jpg
1982,Karl Free,American,Male,1903,1947,homepage_artist_image\Karl Free.jpg
1993,Lucian Freud,British,Male,1922,2011,homepage_artist_image\Lucian Freud.jpg
2002,Lee Friedlander,American,Male,1934,0,homepage_artist_image\Lee Friedlander.jpg
2012,Othon Friesz,French,Male,1879,1949,homepage_artist_image\Othon Friesz.jpg
2015,Francis Frith,British,Male,1822,1898,homepage_artist_image\Francis Frith.jpg
2030,R. Buckminster Fuller,American,Male,1895,1983,homepage_artist_image\R. Buckminster Fuller.jpg
2043,Naum Gabo,American,Male,1890,1977,homepage_artist_image\Naum Gabo.jpg
2098,Paul Gauguin,French,Male,1848,1903,homepage_artist_image\Paul Gauguin.jpg
2104,Sonia Gechtoff,American,Female,1926,2018,homepage_artist_image\Sonia Gechtoff.jpg
2107,Gego (Gertrud Goldschmidt),Venezuelan,Female,1912,1994,homepage_artist_image\Gego (Gertrud Goldschmidt).jpg
2115,Hugo Gellert,American,Male,1892,1985,homepage_artist_image\Hugo Gellert.jpg
2118,Juan Genovés,Spanish,Male,1930,2020,homepage_artist_image\Juan Genovés.jpg
2141,Alberto Giacometti,Swiss,Male,1901,1966,homepage_artist_image\Alberto Giacometti.jpg
2158,Eric Gill,British,Male,1882,1940,homepage_artist_image\Eric Gill.jpg
2171,John Giorno,American,Male,1936,2019,homepage_artist_image\John Giorno.jpg
2191,Albert Gleizes,French,Male,1881,1953,homepage_artist_image\Albert Gleizes.jpg
2206,Vincent van Gogh,Dutch,Male,1853,1890,homepage_artist_image\Vincent van Gogh.jpg
2223,Leon Golub,American,Male,1922,2004,homepage_artist_image\Leon Golub.jpg
2229,Natalia Goncharova,Russian,Female,1881,1962,homepage_artist_image\Natalia Goncharova.jpg
2233,Felix Gonzalez-Torres,American,Male,1957,1996,homepage_artist_image\Felix Gonzalez-Torres.jpg
2252,Arshile Gorky,American,Male,1904,1948,homepage_artist_image\Arshile Gorky.jpg
2274,Francisco de Goya,Spanish,Male,1746,1828,homepage_artist_image\Francisco de Goya.jpg
2281,Dan Graham,American,Male,1942,0,homepage_artist_image\Dan Graham.jpg
2286,Paul Graham,British,Male,1956,0,homepage_artist_image\Paul Graham.jpg
2349,Juan Gris,Spanish,Male,1887,1927,homepage_artist_image\Juan Gris.jpg
2357,Red Grooms,American,Male,1937,0,homepage_artist_image\Red Grooms.jpg
2360,William Gropper,American,Male,1897,1977,homepage_artist_image\William Gropper.jpg
2374,George Grosz,American,Male,1893,1959,homepage_artist_image\George Grosz.jpg
2419,Philip Guston,American,Male,1913,1980,homepage_artist_image\Philip Guston.jpg
2435,Terry Haass,French,Female,1923,2016,homepage_artist_image\Terry Haass.jpg
2481,Richard Hamilton,British,Male,1922,2011,homepage_artist_image\Richard Hamilton.jpg
2491,Robert Hansen,American,Male,1924,2013,homepage_artist_image\Robert Hansen.jpg
2505,Keith Haring,American,Male,1958,1990,homepage_artist_image\Keith Haring.jpg
2519,"George Overbury (""Pop"") Hart",American,Male,1868,1933,homepage_artist_image\George Overbury (Pop) Hart.jpg
2520,Grace Hartigan,American,Female,1922,2008,homepage_artist_image\Grace Hartigan.jpg
2521,Marsden Hartley,American,Male,1877,1943,homepage_artist_image\Marsden Hartley.jpg
2532,Childe Hassam,American,Male,1859,1935,homepage_artist_image\Childe Hassam.jpg
2544,Raoul Hausmann,German,Male,1886,1971,homepage_artist_image\Raoul Hausmann.jpg
2564,Dave Heath,American,Male,1931,2016,homepage_artist_image\Dave Heath.jpg
2569,Erich Heckel,German,Male,1883,1970,homepage_artist_image\Erich Heckel.jpg
2583,Al Held,American,Male,1928,2005,homepage_artist_image\Al Held.jpg
2600,Barbara Hepworth,British,Female,1903,1975,homepage_artist_image\Barbara Hepworth.jpg
2623,Eva Hesse,American,Female,1936,1970,homepage_artist_image\Eva Hesse.jpg
2637,Dick Higgins,American,Male,1938,1998,homepage_artist_image\Dick Higgins.jpg
2648,David Octavius Hill,British,Male,1802,1870,homepage_artist_image\David Octavius Hill.jpg
2657,Lewis W. Hine,American,Male,1874,1940,homepage_artist_image\Lewis W. Hine.jpg
2675,Hannah H?ch,German,Female,1889,1978,homepage_artist_image\Hannah Hch.jpg
2678,David Hockney,British,Male,1937,0,homepage_artist_image\David Hockney.jpg
2679,Howard Hodgkin,British,Male,1932,2017,homepage_artist_image\Howard Hodgkin.jpg
2697,Armin Hofmann,Swiss,Male,1920,0,homepage_artist_image\Armin Hofmann.jpg
2698,Hans Hofmann,American,Male,1880,1966,homepage_artist_image\Hans Hofmann.jpg
2717,Lorenzo Homar,American,Male,1913,2004,homepage_artist_image\Lorenzo Homar.jpg
2719,Gottfried Honegger,Swiss,Male,1917,2016,homepage_artist_image\Gottfried Honegger.jpg
2726,Edward Hopper,American,Male,1882,1967,homepage_artist_image\Edward Hopper.jpg
2756,Ian (Hugh Guiler) Hugo,American,Male,1898,1985,homepage_artist_image\Ian (Hugh Guiler) Hugo.jpg
2801,Masuo Ikeda,Japanese,Male,1934,1997,homepage_artist_image\Masuo Ikeda.jpg
2812,Robert Indiana,American,Male,1928,2018,homepage_artist_image\Robert Indiana.jpg
2856,Joseph Jachna,American,Male,1935,2016,homepage_artist_image\Joseph Jachna.jpg
2863,William Henry Jackson,American,Male,1843,1942,homepage_artist_image\William Henry Jackson.jpg
2893,Alfred Jarry,French,Male,1873,1907,homepage_artist_image\Alfred Jarry.jpg
2896,Alexei Jawlensky,Russian,Male,1864,1941,homepage_artist_image\Alexei Jawlensky.jpg
2923,Jasper Johns,American,Male,1930,0,homepage_artist_image\Jasper Johns.jpg
2928,Ray Johnson,American,Male,1927,1995,homepage_artist_image\Ray Johnson.jpg
2929,Ynez Johnston,American,Female,1920,0,homepage_artist_image\Ynez Johnston.jpg
2930,Joan Jonas,American,Female,1936,0,homepage_artist_image\Joan Jonas.jpg
2943,Asger Jorn,Danish,Male,1914,1973,homepage_artist_image\Asger Jorn.jpg
2948,Donald Judd,American,Male,1928,1994,homepage_artist_image\Donald Judd.jpg
2963,Frida Kahlo,Mexican,Female,1907,1954,homepage_artist_image\Frida Kahlo.jpg
2964,Louis I. Kahn,American,Male,1901,1974,homepage_artist_image\Louis I. Kahn.jpg
2981,Vasily Kandinsky,French,Male,1866,1944,homepage_artist_image\Vasily Kandinsky.jpg
2995,Anish Kapoor,British,Male,1954,0,homepage_artist_image\Anish Kapoor.jpg
2997,Allan Kaprow,American,Male,1927,2006,homepage_artist_image\Allan Kaprow.jpg
3016,Alex Katz,American,Male,1927,0,homepage_artist_image\Alex Katz.jpg
3020,E. McKnight Kauffer,American,Male,1890,1954,homepage_artist_image\E. McKnight Kauffer.jpg
3045,Mike Kelley,American,Male,1954,2012,homepage_artist_image\Mike Kelley.jpg
3048,Ellsworth Kelly,American,Male,1923,2015,homepage_artist_image\Ellsworth Kelly.jpg
